X,Y,dX_m,dY_m,Magnitude_m,YearPair
735555,1009245,0,0,0,2001-2003
735585,1009215,0,0,0,2001-2003
735615,1009215,0,0,0,2001-2003
735645,1009185,0,0,0,2001-2003
735675,1009155,0,0,0,2001-2003
735705,1009125,-30,0,30,2001-2003
735735,1009095,-30,0,30,2001-2003
735765,1009065,-30,0,30,2001-2003
735795,1009065,0,30,30,2001-2003
735825,1009035,-30,0,30,2001-2003
735855,1009005,-30,0,30,2001-2003
735885,1008975,-30,0,30,2001-2003
735915,1008945,0,0,0,2001-2003
735945,1008945,-30,0,30,2001-2003
735975,1008915,-30,0,30,2001-2003
736005,1008885,0,0,0,2001-2003
736035,1008855,0,0,0,2001-2003
736065,1008825,0,-30,30,2001-2003
736095,1008795,0,-30,30,2001-2003
736125,1008795,0,-30,30,2001-2003
736155,1008765,0,-30,30,2001-2003
736185,1008765,0,-30,30,2001-2003
736215,1008735,0,-30,30,2001-2003
736245,1008735,0,0,0,2001-2003
736275,1008705,0,-30,30,2001-2003
736305,1008675,0,-30,30,2001-2003
736335,1008675,0,0,0,2001-2003
736365,1008645,0,-30,30,2001-2003
736395,1008615,0,-30,30,2001-2003
736425,1008615,0,0,0,2001-2003
736455,1008585,0,0,0,2001-2003
736485,1008555,0,-30,30,2001-2003
736515,1008525,0,0,0,2001-2003
736545,1008495,0,0,0,2001-2003
736575,1008465,0,0,0,2001-2003
736605,1008435,0,0,0,2001-2003
736635,1008405,0,0,0,2001-2003
736665,1008375,-30,0,30,2001-2003
736695,1008345,-30,0,30,2001-2003
736725,1008345,-30,30,42.4264068711929,2001-2003
736755,1008315,-30,30,42.4264068711929,2001-2003
736755,1008285,-30,0,30,2001-2003
736755,1008255,0,0,0,2001-2003
736785,1008225,0,0,0,2001-2003
736785,1008195,0,-30,30,2001-2003
736815,1008165,0,-30,30,2001-2003
736845,1008135,0,0,0,2001-2003
736875,1008105,0,0,0,2001-2003
736905,1008075,0,0,0,2001-2003
736935,1008045,0,0,0,2001-2003
736965,1008015,0,0,0,2001-2003
736965,1007985,0,-30,30,2001-2003
736995,1007955,0,0,0,2001-2003
737025,1007925,0,0,0,2001-2003
737055,1007895,0,0,0,2001-2003
737085,1007865,0,0,0,2001-2003
737115,1007835,0,0,0,2001-2003
737145,1007805,0,0,0,2001-2003
737175,1007775,0,0,0,2001-2003
737205,1007745,0,0,0,2001-2003
737235,1007715,0,0,0,2001-2003
737265,1007685,0,0,0,2001-2003
737265,1007655,0,-30,30,2001-2003
737295,1007625,0,0,0,2001-2003
737325,1007595,0,0,0,2001-2003
737355,1007565,0,0,0,2001-2003
737385,1007535,0,0,0,2001-2003
737415,1007505,-30,0,30,2001-2003
737415,1007475,0,0,0,2001-2003
737415,1007445,0,-30,30,2001-2003
737445,1007415,0,-30,30,2001-2003
737475,1007385,0,0,0,2001-2003
737475,1007355,0,-30,30,2001-2003
737505,1007325,0,-30,30,2001-2003
737535,1007295,0,0,0,2001-2003
737535,1007265,0,-30,30,2001-2003
737565,1007235,0,-30,30,2001-2003
737565,1007205,30,0,30,2001-2003
737595,1007175,0,-30,30,2001-2003
737625,1007145,0,-30,30,2001-2003
737655,1007115,0,0,0,2001-2003
737685,1007085,0,0,0,2001-2003
737685,1007055,0,-30,30,2001-2003
737715,1007025,0,-30,30,2001-2003
737745,1006995,0,0,0,2001-2003
737775,1006965,0,0,0,2001-2003
737805,1006935,0,0,0,2001-2003
737835,1006905,0,0,0,2001-2003
737865,1006875,-30,0,30,2001-2003
737895,1006845,-30,0,30,2001-2003
737925,1006815,-30,0,30,2001-2003
737925,1006785,0,0,0,2001-2003
737955,1006755,-30,0,30,2001-2003
737985,1006755,-30,30,42.4264068711929,2001-2003
738015,1006725,-30,30,42.4264068711929,2001-2003
738015,1006695,-30,0,30,2001-2003
738015,1006665,0,0,0,2001-2003
738015,1006635,0,0,0,2001-2003
738045,1006605,-30,0,30,2001-2003
738045,1006575,-30,0,30,2001-2003
738045,1006545,0,0,0,2001-2003
738045,1006515,0,0,0,2001-2003
738075,1006485,0,0,0,2001-2003
738105,1006455,0,0,0,2001-2003
738105,1006425,0,0,0,2001-2003
738105,1006395,0,-30,30,2001-2003
738105,1006365,30,-30,42.4264068711929,2001-2003
738135,1006335,30,0,30,2001-2003
738135,1006305,30,0,30,2001-2003
738165,1006275,0,-30,30,2001-2003
738165,1006245,30,0,30,2001-2003
738195,1006215,0,0,0,2001-2003
738225,1006185,0,0,0,2001-2003
738225,1006155,0,-30,30,2001-2003
738255,1006125,0,0,0,2001-2003
738255,1006095,0,0,0,2001-2003
738285,1006065,0,0,0,2001-2003
738285,1006035,0,-30,30,2001-2003
738315,1006005,0,-30,30,2001-2003
738345,1005975,0,0,0,2001-2003
738345,1005945,0,-30,30,2001-2003
738375,1005915,0,-30,30,2001-2003
738375,1005885,30,0,30,2001-2003
738375,1005855,30,-30,42.4264068711929,2001-2003
738375,1005825,60,0,60,2001-2003
738405,1005795,30,0,30,2001-2003
738435,1005765,0,-30,30,2001-2003
738435,1005735,30,0,30,2001-2003
738465,1005705,0,-30,30,2001-2003
738465,1005675,30,0,30,2001-2003
738495,1005645,0,-30,30,2001-2003
738495,1005615,30,0,30,2001-2003
738525,1005585,0,-30,30,2001-2003
738525,1005555,30,0,30,2001-2003
738555,1005525,0,-30,30,2001-2003
738555,1005495,30,-30,42.4264068711929,2001-2003
738585,1005465,30,0,30,2001-2003
738585,1005435,30,-30,42.4264068711929,2001-2003
738615,1005405,30,0,30,2001-2003
738615,1005375,30,-30,42.4264068711929,2001-2003
738645,1005345,30,0,30,2001-2003
738645,1005315,30,-30,42.4264068711929,2001-2003
738675,1005285,30,0,30,2001-2003
738705,1005255,0,-30,30,2001-2003
738735,1005225,0,-30,30,2001-2003
738735,1005195,30,0,30,2001-2003
738765,1005165,0,0,0,2001-2003
738795,1005135,0,0,0,2001-2003
738795,1005105,0,0,0,2001-2003
738825,1005075,0,0,0,2001-2003
738825,1005045,0,0,0,2001-2003
738855,1005015,0,0,0,2001-2003
738885,1004985,-30,0,30,2001-2003
738915,1004955,-30,0,30,2001-2003
738915,1004925,0,0,0,2001-2003
738945,1004895,0,0,0,2001-2003
738945,1004865,0,0,0,2001-2003
738975,1004835,-30,0,30,2001-2003
738975,1004805,0,0,0,2001-2003
739005,1004775,-30,0,30,2001-2003
739005,1004745,-30,0,30,2001-2003
739035,1004715,-30,30,42.4264068711929,2001-2003
739035,1004685,-30,0,30,2001-2003
739035,1004655,-30,0,30,2001-2003
739065,1004625,-30,0,30,2001-2003
739065,1004595,0,0,0,2001-2003
739095,1004565,-30,0,30,2001-2003
739125,1004535,-30,0,30,2001-2003
739125,1004505,-30,0,30,2001-2003
739155,1004475,0,0,0,2001-2003
739185,1004445,0,0,0,2001-2003
739215,1004415,0,-30,30,2001-2003
739215,1004385,30,-30,42.4264068711929,2001-2003
739245,1004355,30,-30,42.4264068711929,2001-2003
739275,1004325,0,-60,60,2001-2003
739305,1004295,30,-60,67.0820393249937,2001-2003
739335,1004295,30,-30,42.4264068711929,2001-2003
739365,1004265,30,-30,42.4264068711929,2001-2003
739395,1004265,0,-30,30,2001-2003
739425,1004235,30,-30,42.4264068711929,2001-2003
739455,1004235,0,-30,30,2001-2003
739485,1004205,0,-30,30,2001-2003
739515,1004175,30,-30,42.4264068711929,2001-2003
739545,1004175,0,-30,30,2001-2003
739575,1004145,0,-30,30,2001-2003
739605,1004115,30,0,30,2001-2003
739635,1004085,0,-30,30,2001-2003
739665,1004055,0,-30,30,2001-2003
739695,1004055,0,0,0,2001-2003
739725,1004025,0,0,0,2001-2003
739755,1003995,0,-30,30,2001-2003
739785,1003965,0,-30,30,2001-2003
739815,1003935,0,-30,30,2001-2003
739845,1003905,0,-30,30,2001-2003
739875,1003875,0,-30,30,2001-2003
739905,1003875,0,0,0,2001-2003
739935,1003845,0,0,0,2001-2003
739965,1003815,0,0,0,2001-2003
739995,1003785,0,0,0,2001-2003
740025,1003785,-30,0,30,2001-2003
740055,1003755,-30,0,30,2001-2003
740055,1003725,0,0,0,2001-2003
740085,1003695,0,0,0,2001-2003
740115,1003665,0,0,0,2001-2003
740145,1003635,0,0,0,2001-2003
740175,1003605,0,0,0,2001-2003
740205,1003575,0,0,0,2001-2003
740235,1003545,0,0,0,2001-2003
740265,1003515,0,0,0,2001-2003
740295,1003485,0,0,0,2001-2003
740325,1003455,0,0,0,2001-2003
740355,1003425,0,0,0,2001-2003
740385,1003395,0,0,0,2001-2003
740415,1003365,0,0,0,2001-2003
740445,1003335,0,0,0,2001-2003
740475,1003305,0,0,0,2001-2003
740505,1003275,0,0,0,2001-2003
740535,1003245,0,0,0,2001-2003
740565,1003215,0,0,0,2001-2003
740565,1003185,0,-30,30,2001-2003
740595,1003155,0,-30,30,2001-2003
740625,1003125,0,0,0,2001-2003
740655,1003095,0,0,0,2001-2003
740655,1003065,0,-30,30,2001-2003
740685,1003035,0,-30,30,2001-2003
740685,1003005,30,-30,42.4264068711929,2001-2003
740685,1002975,30,-60,67.0820393249937,2001-2003
740715,1002945,30,-60,67.0820393249937,2001-2003
740745,1002945,30,-30,42.4264068711929,2001-2003
740775,1002945,0,-30,30,2001-2003
740805,1002915,0,-30,30,2001-2003
740835,1002915,0,0,0,2001-2003
740865,1002885,0,0,0,2001-2003
740895,1002885,-30,0,30,2001-2003
740925,1002855,-30,0,30,2001-2003
740955,1002855,-30,30,42.4264068711929,2001-2003
740985,1002825,-30,30,42.4264068711929,2001-2003
740985,1002795,-30,0,30,2001-2003
741015,1002765,-30,0,30,2001-2003
741045,1002735,0,0,0,2001-2003
741075,1002705,0,0,0,2001-2003
741105,1002675,0,-30,30,2001-2003
741135,1002645,0,-30,30,2001-2003
741165,1002615,30,-30,42.4264068711929,2001-2003
741195,1002585,30,-30,42.4264068711929,2001-2003
741225,1002555,30,-30,42.4264068711929,2001-2003
741255,1002555,0,-30,30,2001-2003
741285,1002525,0,-30,30,2001-2003
741315,1002495,0,-30,30,2001-2003
741345,1002465,0,-30,30,2001-2003
741375,1002435,0,-30,30,2001-2003
741405,1002405,0,0,0,2001-2003
741435,1002375,0,0,0,2001-2003
741465,1002375,-30,0,30,2001-2003
741495,1002345,-30,0,30,2001-2003
741495,1002315,0,0,0,2001-2003
741525,1002285,0,0,0,2001-2003
741555,1002255,0,-30,30,2001-2003
741585,1002255,0,0,0,2001-2003
741615,1002225,0,0,0,2001-2003
741645,1002195,0,0,0,2001-2003
741675,1002165,0,0,0,2001-2003
741705,1002135,0,0,0,2001-2003
741735,1002105,0,0,0,2001-2003
741735,1002075,0,-30,30,2001-2003
741765,1002045,30,0,30,2001-2003
741765,1002015,30,0,30,2001-2003
741765,1001985,30,0,30,2001-2003
741795,1001955,0,-30,30,2001-2003
741795,1001925,30,0,30,2001-2003
741795,1001895,30,0,30,2001-2003
741825,1001865,0,0,0,2001-2003
741825,1001835,0,0,0,2001-2003
741825,1001805,0,0,0,2001-2003
741825,1001775,0,0,0,2001-2003
741825,1001745,0,0,0,2001-2003
741825,1001715,0,0,0,2001-2003
741825,1001685,0,-30,30,2001-2003
741825,1001655,30,0,30,2001-2003
741825,1001625,30,0,30,2001-2003
741855,1001595,0,0,0,2001-2003
741855,1001565,0,0,0,2001-2003
741855,1001535,0,0,0,2001-2003
741855,1001505,0,-30,30,2001-2003
741855,1001475,30,0,30,2001-2003
741855,1001445,30,0,30,2001-2003
741855,1001415,30,0,30,2001-2003
741855,1001385,30,-30,42.4264068711929,2001-2003
741855,1001355,60,0,60,2001-2003
741885,1001325,30,0,30,2001-2003
741885,1001295,30,0,30,2001-2003
741885,1001265,30,0,30,2001-2003
741915,1001235,0,-30,30,2001-2003
741915,1001205,30,0,30,2001-2003
741915,1001175,30,0,30,2001-2003
741945,1001145,0,-30,30,2001-2003
741945,1001115,30,0,30,2001-2003
741975,1001085,0,0,0,2001-2003
741975,1001055,0,-30,30,2001-2003
742005,1001025,0,0,0,2001-2003
742005,1000995,0,0,0,2001-2003
742005,1000965,0,-30,30,2001-2003
742035,1000935,0,0,0,2001-2003
742035,1000905,0,0,0,2001-2003
742065,1000875,0,0,0,2001-2003
742065,1000845,0,-30,30,2001-2003
742065,1000815,30,0,30,2001-2003
742095,1000785,0,-30,30,2001-2003
742125,1000755,0,0,0,2001-2003
742125,1000725,0,-30,30,2001-2003
742155,1000695,0,0,0,2001-2003
742185,1000665,0,0,0,2001-2003
742215,1000635,0,0,0,2001-2003
742245,1000605,-30,0,30,2001-2003
742245,1000575,0,0,0,2001-2003
742275,1000545,-30,0,30,2001-2003
742305,1000515,-30,0,30,2001-2003
742305,1000485,-30,0,30,2001-2003
742335,1000455,-30,0,30,2001-2003
742335,1000425,0,0,0,2001-2003
742365,1000395,0,0,0,2001-2003
742395,1000365,0,0,0,2001-2003
742425,1000335,0,0,0,2001-2003
742455,1000335,0,0,0,2001-2003
742485,1000305,0,0,0,2001-2003
742515,1000305,0,0,0,2001-2003
742545,1000275,0,0,0,2001-2003
742575,1000245,0,0,0,2001-2003
742605,1000245,0,0,0,2001-2003
742635,1000215,0,0,0,2001-2003
742665,1000185,0,0,0,2001-2003
742695,1000185,0,0,0,2001-2003
742725,1000155,0,0,0,2001-2003
742755,1000125,0,-30,30,2001-2003
742785,1000125,0,0,0,2001-2003
742815,1000095,0,0,0,2001-2003
742845,1000095,0,0,0,2001-2003
742875,1000065,0,0,0,2001-2003
742905,1000065,-30,0,30,2001-2003
742935,1000035,0,0,0,2001-2003
742965,1000035,-30,0,30,2001-2003
742995,1000035,-30,30,42.4264068711929,2001-2003
743025,1000005,0,30,30,2001-2003
743055,1000005,0,30,30,2001-2003
743085,999975,-30,0,30,2001-2003
743115,999975,-30,30,42.4264068711929,2001-2003
743145,999975,-60,30,67.0820393249937,2001-2003
743175,999945,-60,30,67.0820393249937,2001-2003
743205,999915,0,60,60,2001-2003
743235,999915,-30,60,67.0820393249937,2001-2003
743265,999885,-60,30,67.0820393249937,2001-2003
743295,999855,0,60,60,2001-2003
743325,999855,-30,60,67.0820393249937,2001-2003
743355,999825,-60,30,67.0820393249937,2001-2003
743385,999795,-60,30,67.0820393249937,2001-2003
743415,999765,0,60,60,2001-2003
743445,999765,-30,60,67.0820393249937,2001-2003
743475,999735,-60,30,67.0820393249937,2001-2003
743505,999735,-60,60,84.8528137423857,2001-2003
743535,999705,-30,60,67.0820393249937,2001-2003
743565,999675,-60,30,67.0820393249937,2001-2003
743595,999645,-60,30,67.0820393249937,2001-2003
743625,999615,0,60,60,2001-2003
743655,999615,-30,60,67.0820393249937,2001-2003
743685,999585,-60,30,67.0820393249937,2001-2003
743715,999555,-60,30,67.0820393249937,2001-2003
743745,999525,0,60,60,2001-2003
743775,999495,-30,30,42.4264068711929,2001-2003
743805,999495,-60,30,67.0820393249937,2001-2003
743835,999465,0,60,60,2001-2003
743865,999465,-30,60,67.0820393249937,2001-2003
743895,999435,-60,30,67.0820393249937,2001-2003
743925,999405,-60,30,67.0820393249937,2001-2003
743955,999375,0,60,60,2001-2003
743985,999345,-30,30,42.4264068711929,2001-2003
744015,999315,-30,30,42.4264068711929,2001-2003
744045,999315,-60,30,67.0820393249937,2001-2003
744075,999285,-60,30,67.0820393249937,2001-2003
744105,999255,-60,30,67.0820393249937,2001-2003
744135,999255,-60,60,84.8528137423857,2001-2003
744165,999225,-60,60,84.8528137423857,2001-2003
744195,999195,-60,60,84.8528137423857,2001-2003
744225,999165,-30,60,67.0820393249937,2001-2003
744255,999135,-60,30,67.0820393249937,2001-2003
744285,999105,-60,30,67.0820393249937,2001-2003
744315,999075,-60,30,67.0820393249937,2001-2003
744345,999045,-60,30,67.0820393249937,2001-2003
744375,999015,-60,30,67.0820393249937,2001-2003
744405,998985,-60,30,67.0820393249937,2001-2003
744435,998955,-60,60,84.8528137423857,2001-2003
744465,998925,-60,60,84.8528137423857,2001-2003
744495,998895,-60,60,84.8528137423857,2001-2003
744525,998865,-90,30,94.8683298050514,2001-2003
744555,998835,-90,60,108.16653826392,2001-2003
744585,998805,-120,30,123.69316876853,2001-2003
744615,998805,-120,90,150,2001-2003
744645,998775,-120,90,150,2001-2003
744675,998745,-30,150,152.970585407784,2001-2003
744705,998715,-60,120,134.164078649987,2001-2003
744735,998685,-90,90,127.279220613579,2001-2003
744765,998655,-90,90,127.279220613579,2001-2003
744795,998625,-90,90,127.279220613579,2001-2003
744795,998595,-90,60,108.16653826392,2001-2003
744825,998565,-90,60,108.16653826392,2001-2003
744855,998535,-90,60,108.16653826392,2001-2003
744855,998505,-60,60,84.8528137423857,2001-2003
744885,998475,-60,60,84.8528137423857,2001-2003
744915,998445,-60,60,84.8528137423857,2001-2003
744945,998415,-60,60,84.8528137423857,2001-2003
744975,998385,-60,60,84.8528137423857,2001-2003
745005,998355,-30,60,67.0820393249937,2001-2003
745035,998325,-60,30,67.0820393249937,2001-2003
745065,998295,-60,30,67.0820393249937,2001-2003
745095,998265,-60,30,67.0820393249937,2001-2003
745125,998265,-90,30,94.8683298050514,2001-2003
745155,998235,-90,60,108.16653826392,2001-2003
745185,998205,-90,60,108.16653826392,2001-2003
745215,998175,-30,90,94.8683298050514,2001-2003
745245,998145,-60,60,84.8528137423857,2001-2003
745275,998115,0,60,60,2001-2003
745305,998085,-30,30,42.4264068711929,2001-2003
745335,998085,0,60,60,2001-2003
