Year,Width_m,Sinuosity,Curvature,Wavelength_m,BraidingIndex
2001,1130.03348136537,1.25318848562893,0.0365136233759669,778.817836877036,1
2003,1134.74865096874,1.25600997595967,0.0320390826402937,402.462097877715,1
2005,1082.92615066829,1.24766806461304,0.0306975979760069,2042.1246378739,1
2007,1035.6943872254,1.25712480525935,0.0336471793019221,879.586064061098,1
2009,898.880234521822,1.26686042753964,0.0406589016425849,369.567057249533,1
2011,1069.88962512856,1.24301000371444,0.0271409483631201,1098.3989891444,1
2013,1062.30067657569,1.24253244806452,0.0267564773638924,2274.97497116653,1
2015,1043.66206219131,1.24733038815123,0.0292911456570505,765.761213377136,1
2017,1054.25399221145,1.24651516505743,0.0293258337630774,1090.41361597358,1
2019,1038.16209915506,1.24973509040827,0.0300926897256054,766.831565814736,1
2021,1075.39513755527,1.24382524220282,0.0280781502750577,794.711429797983,1
2023,993.674372843167,1.25525555045764,0.0372194865909676,1266.03589991163,1
2025,1079.09276773505,1.24804385081658,0.0297353386326395,4811.338200247,1
