Year,MeanWidth_m,MinWidth_m,MaxWidth_m,StdDev_m,Avg_Width
2001,1130.033481,441.0447544,2014.285714,314.0178633,1053.747203
2003,1134.748651,542.2269595,1860,298.1495798,
2005,1082.926151,416.7670615,1768.2253,313.1404163,
2007,1035.694387,400.5819329,1830,302.2298862,
2009,898.8802345,341.962187,1810,300.276406,
2011,1069.889625,404.6282151,2070,320.8674792,
2013,1062.300677,416.7670615,1838.571429,307.2746738,
2015,1043.662062,424.8596258,1770,301.1312052,
2017,1054.253992,432.9521901,1795.714286,309.7698816,
2019,1038.162099,441.0447544,1778.571429,297.1446317,
2021,1075.395138,413.8762421,1787.142857,311.267933,
2023,993.6743728,412.9794385,1860,281.2415385,
2025,1079.092768,486.6878032,1821.428571,301.1005126,
