Year,Width_m,Sinuosity,Curvature,Wavelength_m,BraidingIndex
2001,792.737120728416,1.14089028643984,0.031371656428529,10125.5548263433,1
2003,834.911690439927,1.14499784614443,0.0308611530542808,22864.0995514189,1
2005,802.93743098142,1.1404803629119,0.0294212907408594,383.711046591868,1
2007,826.313558695203,1.13503079890083,0.0268485684069088,3129.20616589104,1
2009,784.059595612306,1.13970526799141,0.029828577811398,436.888131010376,1
2011,795.973168862648,1.13562443742126,0.0276036970736241,443.184193087722,1
2013,814.305379708968,1.13811642815445,0.0277222775008263,6902.10244842769,1
2015,820.04898344276,1.1413566133123,0.0285385124555332,480.513641983621,1
2017,814.751520325579,1.13926608116491,0.0293940176225261,397.940295534626,1
2019,732.396523301967,1.13921025682711,0.0357056706315807,315.977781039356,1
2021,827.3587021096,1.13920839024318,0.0283515586904142,486.065451031856,1
2023,828.072079197933,1.13777133153727,0.0277134981345435,4304.84966264503,1
2025,817.50185633718,1.14101256964909,0.0294299340819119,3959.76904500744,1
