YearPair,MeanMigration_m,MaxMigration_m,Direction
2001-2003,0.572789363676998,417.423099412224,Erosion-dominated
2003-2005,0.55908265801397,399.918811560093,Erosion-dominated
2005-2007,0.274127531776833,92.9937667471208,Erosion-dominated
2007-2009,0.384548498290439,126.679396078873,Expansion
2009-2011,0.404162186562046,311.230533957621,Erosion-dominated
2011-2013,0.292621799274746,266.961404780295,Erosion-dominated
2013-2015,0.195683475174028,84.8528137423869,Erosion-dominated
2015-2017,0.256231659025089,120,Erosion-dominated
2017-2019,0.666391325802695,526.595955914237,Expansion
2019-2021,0.751281025981251,521.999999999999,Erosion-dominated
2021-2023,0.273986619984481,93.9566288335881,Erosion-dominated
2023-2025,0.349480963205006,181.505185968731,Erosion-dominated
